event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
USA21169,"11 January 2021",2021,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)",,Protesters,,,,"Protesters only",,840,"North America","United States",California,"Los Angeles",,"Los Angeles",34.0433,-118.2495,1,"Twitter; Crowd Counting Consortium","Other-New media","On 11 January 2021, an unreported number of people rallied in Los Angeles (California) calling for charges against the pro-Trump demonstrators at the 'Stop the Steal' rally on 6 January 2021 who allegedly physically assaulted a Black woman during the demonstration.",0,"crowd size=no report",1638920200
USA21052,"09 January 2021",2021,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)",,Protesters,,,,"Protesters only",,840,"North America","United States",California,"Los Angeles",,"Beverly Hills",34.0743,-118.3982,1,"Patch; Crowd Counting Consortium",Other-National,"On 9 January 2021, an unreported number of people staged a 'Patriots Push Forward' and 'Freedom Rally' in Beverly Hills (California) in support of President Trump and the 'Stop the Steal' movement and in memory of Ashley Babbitt who was shot and killed during the U.S. Capitol riot on 6 January 2021.",0,"crowd size=no report; stop the steal",1680633500
USA21064,"09 January 2021",2021,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)","Unidentified Communal Militia (United States); III% United Patriots; Three Percenters (III%)",Protesters,,,,"Protesters only",,840,"North America","United States",Kentucky,Franklin,,Frankfort,38.2006,-84.874,1,"Daily Beast; Lexington Herald-Leader; WDRB; Political Research Associates; MilitiaWatch; HuffPost; Twitter; Forbes; State Journal (Frankfort)","Local partner-New media","On 9 January 2021, about 100 heavily armed people, including members of self-described militias, including Three Percenters (III%) and the III% United Patriot Front, gathered outside the Kentucky Capitol building in Frankfort (Kentucky) for a 'Stop the Steal' rally against socialism, communism, Senators Rand Paul and Mitch McConnell, and Governor Andy Beshear. Demonstrators also expressed opposition to Beshear's executive orders to combat the coronavirus pandemic. Demonstrators carried firearms.",0,"armed; crowd size=about 100; stop the steal",1680633585
USA21043,"08 January 2021",2021,1,"Strategic developments","Strategic developments",Arrests,"Police Forces of the United States (2017-2021)",,"State forces","Sole Perpetrator (United States)",QAnon,"Political militia","State forces-Political militia",,840,"North America","United States",Oregon,Multnomah,,"Portland - Downtown",45.5134,-122.6809,1,"Statesman Journal; Willamette Week",Subnational,"On 8 January 2021, a man fired several shots at the exterior of the U.S. Courthouse in Portland - Downtown (Oregon), damaging the plywood attached to the courthouse's stone columns but causing no injured. Courthouse security took the shooter into custody, where he was subsequently arrested and charged with destruction of government property. Investigation revealed that he was motivated by conspiracies related to 'Stop the Steal' movement and QAnon. He was previously arrested during a 'Stop the Steal' demonstration at the Oregon Capitol in Salem, Oregon on 6 January 2021.",0,,1719352969
USA20197,"06 January 2021",2021,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)",,Protesters,,,,"Protesters only",,840,"North America","United States",Tennessee,Shelby,,Memphis,35.1495,-90.0489,1,"Fox13 (Memphis); WREG News Channel 3",Subnational,"On 6 January 2021, several dozen people gathered at an intersection in East Memphis (Tennessee) for a 'Stop the Steal' event, in protest of perceived election fraud and in support of President Trump's re-election. The group also called for Tennessee representatives to denounce the election results.",0,"crowd size=several dozen; stop the steal",1680633501
USA20204,"06 January 2021",2021,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)",,Protesters,,,,"Protesters only",,840,"North America","United States",Vermont,Washington,,Montpelier,44.2626,-72.5806,1,"WCAX Channel 3",Subnational,"On 6 January 2021, people participated in a Stop the Steal rally in Montpelier (Vermont) in support of President Trump.",0,"crowd size=no report; stop the steal",1680633501
USA20209,"06 January 2021",2021,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)",,Protesters,,,,"Protesters only",,840,"North America","United States",California,Orange,,"Newport Beach",33.6189,-117.9289,1,"Los Angeles Daily News",Subnational,"On 6 January 2021, more than 200 people rallied at the corner of Pacific Coast Highway and MacArthur Boulevard in Newport Beach (California) in support of President Trump. A number of people held stop the steal signs alleging voter fraud.",0,"crowd size=more than 200; stop the steal",1680633501
USA20229,"06 January 2021",2021,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)",,Protesters,,,,"Protesters only",,840,"North America","United States",Illinois,"Rock Island",,"Rock Island",41.5095,-90.5788,1,"WQAD News 8",Subnational,"On 6 January 2021, roughly two dozen people gathered for a 'Stop the Steal' rally in Rock Island (Illinois) to protest the election results and in support of the false claim that the election was rigged and in support of Donald Trump.",0,"crowd size=roughly two dozen; stop the steal",1680633501
USA20145,"06 January 2021",2021,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)",,Protesters,"Protesters (United States)","Antifa (United States)",Protesters,Protesters-Protesters,,840,"North America","United States",Texas,Travis,,Austin,30.2747,-97.7405,1,"Vox; KVUE; KXAN; NBC News",Subnational-National,"On 6 January 2021, an estimated 700 to 800 people held a 'Stop the Steal' rally in front of the Texas State Capitol in Austin (Texas) to express skepticism about the results of the presidential election and to support President Trump. The rally was peaceful, but the Texas Department of Public Safety closed the Capitol grounds after a mob breached the US Capitol during a similar event in Washington, DC. The protesters confronted a small group of self-described 'Antifa' counter-protesters and a pro-Biden protester, but the exchanges were peaceful.",0,"counter-demonstration; crowd size=700 to 800; stop the steal",1680633501
USA20245,"06 January 2021",2021,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)","Proud Boys",Protesters,,,,"Protesters only",,840,"North America","United States",Florida,Leon,,Tallahassee,30.4382,-84.2803,1,"Tallahassee Democrat; Political Research Associates",Other-Subnational,"On 6 January 2021, between 100 and 150 people gathered outside of the Capitol building in Tallahassee (Florida) for a 'Stop the Steal' event, in protest of perceived election fraud and in support of President Trump's re-election. Roughly 35 members of the Proud Boys also joined protest event later in the afternoon.",0,"crowd size=between 100 and 150; stop the steal",1680633501
USA20239,"06 January 2021",2021,1,Demonstrations,Riots,"Violent demonstration","Rioters (United States)","Proud Boys",Rioters,"Rioters (United States)","LGBTQ+ (United States)",Rioters,Rioters-Rioters,,840,"North America","United States","New Mexico","Santa Fe",,"Santa Fe",35.6875,-105.9386,1,"KOB4; Crowd Counting Consortium; KTLA5; Albuquerque Journal",Other-Subnational,"On 6 January 2021, about 250 people, including members of the Proud Boys and Cowboys for Trump, staged a 'Stop the Steal' vehicle caravan rally in Santa Fe (New Mexico) in support of President Trump and against the 2020 presidential election results. Counter-demonstrators were present to support gay pride. A physical altercation occurred between the two groups. Police officers intervened. Police evacuated the Roundhouse and courthouses as a precaution.",0,"counter-demonstration; crowd size=about 250; stop the steal",1680633501
USA21030,"06 January 2021",2021,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)","Tea Party",Protesters,,,,"Protesters only",,840,"North America","United States",Texas,Gillespie,,Fredericksburg,30.2752,-98.872,1,"Crowd Counting Consortium; KSAT12",Other-Subnational,"On 6 January 2021, more than 100 people held a 'Stop the Steal' rally organized by the Fredericksburg Tea Party in front of the Gillespie County Courthouse in Fredericksburg (Texas) to express skepticism about the results of the presidential election and to support President Trump.",0,"crowd size=more than 100; stop the steal",1680633501
USA29663,"06 January 2021",2021,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)",,Protesters,,,,"Protesters only",,840,"North America","United States",Oregon,Umatilla,,Pendleton,45.6721,-118.7886,1,"East Oregonian",Subnational,"On 6 January 2021, about 6 people participated in a Stop the Steal protest in Pendleton (Oregon) in support of President Trump and against alleged voter fraud.",0,"crowd size=about 6; stop the steal",1680633501
USA20140,"06 January 2021",2021,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)","Tea Party",Protesters,,,,"Protesters only",,840,"North America","United States",Virginia,Washington,,Abingdon,36.7098,-81.9774,1,"WCYB-TV5; US News & World Report; MilitiaWatch; Facebook; Political Research Associates","Local partner-New media","On 6 January 2021, more than two dozen people organized by the Southwest Virginia Tea Party held a 'Stop the Steal' protest in Abingdon (Virginia) to support President Trump and his allegations of voter fraud during the presidential election.",0,"crowd size=no report; stop the steal",1680633501
USA20151,"06 January 2021",2021,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)",,Protesters,,,,"Protesters only",,840,"North America","United States",Mississippi,Harrison,,Biloxi,30.396,-88.8853,1,"WLOX ABC",Subnational,"On 6 January 2021, a small group of people gathered along Highway 90 in Biloxi (Mississippi) for a 'Stop the Steal' event, in protest of perceived election fraud and in support of President Trump's re-election.",0,"crowd size=small; stop the steal",1680633501
USA20156,"06 January 2021",2021,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)",,Protesters,,,,"Protesters only",,840,"North America","United States",Massachusetts,Barnstable,,Bourne,41.748,-70.6016,1,"Cape Cod Times",Subnational,"On 6 January 2021, about 50 people participated in a Stop the Steal rally in Bourne (Massachusetts) in support of President Trump.",0,"crowd size=about 50; stop the steal",1680633501
USA20158,"06 January 2021",2021,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)",,Protesters,,,,"Protesters only",,840,"North America","United States",Nevada,"Carson City",,"Carson City",39.1634,-119.7649,1,"MilitiaWatch; Las Vegas Review-Journal; New Canaan Advertiser; KOLO8; Crowd Counting Consortium","Local partner-New media","On 6 January 2021, a few hundred people staged a 'Stop the Steal' rally outside the legislative building in Carson City (Nevada) in support of President Trump, calling for a 'new Republican Party, and against the presidential vote certification process in the national Capitol the same day.",0,"crowd size=a few hundred; stop the steal",1680633501
USA20165,"06 January 2021",2021,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)","GOP: Republican Party",Protesters,,,,"Protesters only",,840,"North America","United States",Texas,Nueces,,"Corpus Christi",27.8006,-97.3964,1,"Corpus Christi Caller-Times",Subnational,"On 6 January 2021, about 100 people, led by the Nueces County Republican Party, held a 'Stop the Steal' rally at Sunrise Mall in Corpus Christi (Texas) to express skepticism about the results of the presidential election and to support President Trump.",0,"crowd size=about 100; stop the steal",1680633501
USA20182,"06 January 2021",2021,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)",,Protesters,,,,"Protesters only",,840,"North America","United States",California,Orange,,"Huntington Beach",33.6637,-117.9937,1,"Patch; Los Angeles Times; Los Angeles Daily News",Subnational-National,"On 6 January 2021, between 50 and 100 people rallied along Pacific Coast Highway in Huntington Beach (California) in support of President Trump and in support of unfounded claims of election fraud. A number of people carried Stop the Steal signs.",0,"crowd size=between 50 and 100; stop the steal",1680633501
USA20184,"06 January 2021",2021,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)","Government of the United States (2017-2021)",Protesters,,,,"Protesters only",,840,"North America","United States",Tennessee,Madison,,Jackson,35.6145,-88.814,1,"Crowd Counting Consortium; WBBJ ABC7",Other-Subnational,"On 6 January 2021, a group of people gathered in front of the Madison County Courthouse in Jackson (Tennessee) for a 'Stop the Steal' event, in protest of perceived election fraud and in support of President Trump's re-election. Two state representative spoke to the crowd during the event.",0,"crowd size=no report; stop the steal",1680633501
USA20185,"06 January 2021",2021,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)",,Protesters,,,,"Protesters only",,840,"North America","United States",Mississippi,Hinds,,Jackson,32.2986,-90.1863,1,"Facebook; WLOX ABC; MilitiaWatch","Local partner-New media","On 6 January 2021, a small group of people gathered outside of the Capitol building in Jackson (Mississippi) to protest perceived election fraud and call for a re-vote on the state flag issue. Several of the protesters carried the retired Mississippi state flag, Trump flags, and 'Stop the Steal' signs.",0,"crowd size=small; stop the steal",1680633501
USA20176,"06 January 2021",2021,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)","Government of the United States (2017-2021); Protestant Christian Group (United States); GOP: Republican Party",Protesters,,,,"Protesters only",,840,"North America","United States",California,Fresno,,Fresno,36.7373,-119.7857,1,"GV Wire; Crowd Counting Consortium",Other-Subnational,"On 6 January 2021, more than 100 people staged a 'Stop the Steal! Stand for Trump!' rally and car caravan from Clovis to Fresno (California) in support of President Trump and against the 2020 presidential election results. A pastor at Clovis Missionary Baptist Church and Clovis City Councilman Vong Mouanoutoua attended.",0,"crowd size=more than 100; stop the steal",1680633592
USA20189,"06 January 2021",2021,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)","Three Percenters (III%)",Protesters,,,,"Protesters only",,840,"North America","United States",Nevada,Clark,,"Las Vegas",36.1749,-115.1372,1,"Facebook; Crowd Counting Consortium; Las Vegas Review-Journal; MilitiaWatch; Fox5 (Las Vegas)","Local partner-New media","On 6 January 2021, a large group of pro-Trump protesters gathered at the federal courthouse in Las Vegas (Nevada). Among the protesters at the rally were members of the Three Percenters (III%) militia movement. The protest was held in support of overturning the election result in favor of Trump as part of a nationally-organized push for 'Stop the Steal' protests.",0,"crowd size=no report; stop the steal",1680633665
USA20196,"06 January 2021",2021,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)",,Protesters,,,,"Protesters only",,840,"North America","United States",Wisconsin,Dane,,Madison,43.0748,-89.384,1,"Capital Times; 13ABC; Political Research Associates",Other-Subnational,"On 6 January 2021, pro-Trump protesters demonstrated at the state Capitol building in Madison (Wisconsin) in cars and trucks. The protesters circled the building flying Trump and US flags. The protest was held in support of overturning the election result in favor of Trump as part of a nationally-organized push for 'Stop the Steal' protests.",0,"crowd size=no report; stop the steal",1680633665
USA20200,"06 January 2021",2021,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)",,Protesters,,,,"Protesters only",,840,"North America","United States",Texas,Midland,,Midland,31.9973,-102.0779,1,"Count Love; Midland Reporter-Telegram",Other-Subnational,"On 6 January 2021, about 30 people held a 'Stop the Steal' rally at Centennial Park in Midland (Texas) to express skepticism about the results of the presidential election and to support President Trump.",0,"crowd size=about 30; stop the steal",1680633665
USA20172,"06 January 2021",2021,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)",,Protesters,"Protesters (United States)",,Protesters,Protesters-Protesters,,840,"North America","United States",Pennsylvania,Erie,,Erie,42.1292,-80.0851,1,"WICU; Crowd Counting Consortium",Other-Subnational,"On 6 January 2021, about 50-60 people held a 'Stop the Steal' protest in Erie (Pennsylvania) in support of President Trump and his allegations of voter fraud during the presidential election. A small group of counter-demonstrators protested against President Trump nearby.",0,"counter-demonstration; crowd size=about 50-60; stop the steal",1680633665
USA20257,"06 January 2021",2021,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)",,Protesters,,,,"Protesters only",,840,"North America","United States",Kansas,Sedgwick,,Wichita,37.6869,-97.3309,1,KWCH12,Subnational,"On 6 January 2021, about 50 people held a 'Stop the Steal' rally in front of the Sedgwick County Courthouse in Wichita (Kansas) to express skepticism about the results of the presidential election and to support President Trump.",0,"crowd size=about 50; stop the steal",1680633665
USA20258,"06 January 2021",2021,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)",,Protesters,,,,"Protesters only",,840,"North America","United States",Kentucky,Whitley,,Williamsburg,36.7434,-84.1597,1,"Times-Tribune; Crowd Counting Consortium",Other-Subnational,"On 6 January 2021, about 25 people held a 'Stop the Steal' rally at Briar Creek Park in Williamsburg (Kentucky) to express skepticism about the results of the presidential election and to support President Trump.",0,"crowd size=about 25; stop the steal",1680633665
USA20186,"06 January 2021",2021,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)",Groypers,Protesters,,,,"Protesters only",,840,"North America","United States",Missouri,Cole,,"Jefferson City",38.5792,-92.173,1,"Fox2 (St. Louis); Twitter; Jefferson City News Tribune; MilitiaWatch; Facebook; KRCG 13","Local partner-New media","On 6 January 2021, hundreds of pro-Trump protesters gathered at the State Capitol in Jefferson City (Missouri). Among the attendees were representatives from the Groypers/America First. The protest was held in support of overturning the election result in favor of Trump as part of a nationally-organized push for 'Stop the Steal' protests.",0,"crowd size=hundreds; stop the steal",1680633665
USA20171,"06 January 2021",2021,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)",,Protesters,,,,"Protesters only",,840,"North America","United States",Texas,"El Paso",,"El Paso",31.7617,-106.4846,1,"Border Report; KTSM9",Subnational-National,"On 6 January 2021, about 50 people held a 'Stop the Steal' rally in San Jacinto Plaza in El Paso (Texas) to express skepticism about the results of the presidential election and to support President Trump.",0,"crowd size=about 50; stop the steal",1680633665
USA20191,"06 January 2021",2021,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)","Unidentified Communal Militia (United States)",Protesters,,,,"Protesters only",,840,"North America","United States",Arkansas,Pulaski,,"Little Rock",34.7464,-92.2879,1,"KARK4; THV11; Political Research Associates",Other-Subnational,"On 6 January 2021, a couple hundred pro-Trump demonstrators gathered at the Arkansas State Capitol in Little Rock (Arkansas). Among the demonstrators were an unidentified militia group armed with long rifles and carrying riot shields. The demonstration was held in support of overturning the election result in favor of Trump as part of a nationally-organized push for 'Stop the Steal' demonstrations.",0,"armed; crowd size=a couple hundred; stop the steal",1680633665
USA20220,"06 January 2021",2021,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)","Three Percenters (III%); Unidentified Communal Militia (United States)",Protesters,,,,"Protesters only",,840,"North America","United States",Arizona,Maricopa,,Phoenix,33.4492,-112.0741,1,"Arizona Central; Crowd Counting Consortium; Political Research Associates; Fox10 (Phoenix); US News & World Report; MilitiaWatch; Twitter; Facebook","Local partner-New media","On 6 January 2021, about 1000 people including pro-Trump protesters staged a 'Protect the Vote' rally outside the state capitol in Phoenix (Arizona). Among the protesters were Three Percenters (III%) and other unidentified militia members. An unidentified militia group erected a guillotine just outside the building. The protest was held in support of overturning the election result in favor of Trump as part of a nationally-organized push for 'Stop the Steal' protests.",0,"crowd size=about 1000; stop the steal",1680633665
USA25564,"06 January 2021",2021,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)",,Protesters,,,,"Protesters only",,840,"North America","United States",California,"Contra Costa",,Lafayette,37.886,-122.1172,1,"Mercury News",Subnational,"On 6 January 2021, an unreported number of people rallied in a 'Stop the Steal' event at an overpass in Lafayette (California) in support of President Trump.",0,"crowd size=no report; stop the steal",1680633669
USA20163,"06 January 2021",2021,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)","Proud Boys",Protesters,"Protesters (United States)",,Protesters,Protesters-Protesters,,840,"North America","United States","South Carolina",Richland,,Columbia,34.0004,-81.0332,1,"Facebook; MilitiaWatch; Political Research Associates; Twitter; WACH; WMBF","Local partner-New media","On 6 January 2021, hundreds of people including members of the Proud Boys held a 'Stop the Steal' protest in Columbia (South Carolina) in support of President Trump and his allegations of voter fraud during the presidential election. Counter-demonstrators also protested against the group and against president Trump.",0,"counter-demonstration; crowd size=hundreds; stop the steal",1697584399
USA20141,"06 January 2021",2021,1,Demonstrations,Riots,"Violent demonstration","Rioters (United States)","Antifa (United States)",Rioters,"Police Forces of the United States (2017-2021)","Rioters (United States); Proud Boys","State forces","State forces-Rioters",,840,"North America","United States","New York",Albany,,Albany,42.6504,-73.7591,1,"Crowd Counting Consortium; Journal News; NewsChannel 2; Times Union (Albany); US News & World Report",Other-Subnational,"On 6 January 2021, about 35 Pro-Trump supporters and a few members of the Proud Boys held a 'Stop the Steal' rally in Albany (New York) in support of President Trump. There was a counter-demonstration against the groups and president Trump where anti-fascists were present. A fight between the two groups broke out and an anti-fascist stabbed two pro-Trump supporters, who were hospitalized with injuries. The perpetrator was arrested. Three others, including two counter-demonstrators who crossed into the crime scene, refused to leave, and shoved a police officer, were arrested. A pro-Trump rally participant was also arrested for striking a counter-demonstrator with a baton. Five people were arrested in total.",0,"counter-demonstration; crowd size=about 35; stop the steal",1697584399
USA20164,"06 January 2021",2021,1,Demonstrations,Riots,"Violent demonstration","Rioters (United States)","Proud Boys",Rioters,"Rioters (United States)","BLM: Black Lives Matter",Rioters,Rioters-Rioters,,840,"North America","United States",Ohio,Franklin,,Columbus,39.9613,-82.9991,1,"10TV; 13ABC; Columbus Dispatch; Crowd Counting Consortium; Highland County Press; Political Research Associates; TiffinOhio",Other-Subnational,"On 6 January 2021, hundreds of people including members of the Proud Boys and Trump supporters, some carrying weapons including firearms, gathered for a 'Stop the Steal' rally near the Statehouse in Columbus (Ohio) to demonstrate against the congressional certification of Democratic President-Elect Joe Biden. About 10 counter demonstrators, some supporting BLM, were present. Two fights between the groups broke out with demonstrators throwing punches and using batons. Police were on the scene and helped break up fights but did not make any arrests.",0,"armed; counter-demonstration; crowd size=hundreds; stop the steal",1697584399
USA21760,"06 January 2021",2021,1,Demonstrations,Protests,"Peaceful protest","Protesters (United States)","Back the Blue; Pro-Police Group (United States)",Protesters,"Protesters (United States)",,Protesters,Protesters-Protesters,,840,"North America","United States",California,Nevada,,"Grass Valley",39.2191,-121.0611,1,"Crowd Counting Consortium; Union",Other-Subnational,"On 6 January 2021, a few dozen people staged a 'Stop the Steal' rally in Grass Valley (California) in support of President Trump, Back the Blue, and Truth for Trump and against the election of President-elect Biden, claiming voter fraud. An unreported number of counter-demonstrators were present. Overall, the event was peaceful. However, one counter-demonstrator allegedly assaulted a Pro-Trump demonstrator physically. No injuries or arrests were reported.",0,"counter-demonstration; crowd size=a few dozen; stop the steal",1697584400
